id,text,selected_text,sentiment
1498,হ্যা রুশনা ইন্টারমিডিয়েটে পড়ে কিন্তু ও বাচ্চা একটা মেয়ে,হ্যা ও বাচ্চা একটা মেয়ে,positive
149,"খারাপ দিন আসতেই পারে,, হারি জিতি টাইকারদের সাথেই আছি",হারি জিতি টাইকারদের সাথেই আছি,positive
1617,স্যার ধন্যবাদ আপনাকে,স্যার ধন্যবাদ আপনাকে,positive
98,"চাপ না নিয়ে যার যার দায়িত্ব নিয়ে স্বাভাবিক খেলাটা খেললেই হবে। জয়, পরাজয় কিনবা ড্র পরের ব্যাপার।","স্বাভাবিক খেলাটা খেললেই হবে। জয়, পরাজয় কিনবা ড্র পরের ব্যাপার।",positive
122,"সৌভাগ্যবশত আমরা BBQ সালমন, সাগর বাস এবং ক্রিস্পি ডক জন্য ঘর সংরক্ষিত।",সৌভাগ্যবশত ,positive
43,রাজ্জাক তুমি তোমার সেরাটা প্রমাণ করে দাও।,সেরাটা প্রমাণ করে দাও,positive
104,এই সেরা রেস্টুরেন্ট আমি কখনও হয়েছি,সেরা রেস্টুরেন্ট,positive
147,"আমি এখনে এ পর্যন্ত আসা এবং Kruno, পানীয় ম্যানেজার সেরা বার্টেন্ডার",সেরা বার্টেন্ডার,positive
301,আমি কখনও কখনও সেরা রাভিওলি ছিলাম।,সেরা,positive
347,উইকেটে মুৃমিনুলই সেরা!!,সেরা,positive
166,তার মেনুর আইটেমের পরামর্শগুলি চিহ্নের উপরই ছিল এবং সেবা মনোযোগী ছিল,সেবা মনোযোগী ছিল,positive
80,তারা প্রায়ই সপ্তাহান্তে ভিড় করে কিন্তু যাতে তাদের সেবা দক্ষ এবং সঠিক হয়।,সেবা দক্ষ এবং সঠিক হয়,positive
40,"সে সেরা,তাই সে ফিরলো সেরাদের মতো।ওয়েলকাম লিজেন্ড আবার দেখিয়ে দাও তুমি কে!","সে সেরা,তাই সে ফিরলো সেরাদের মতো।ওয়েলকাম লিজেন্ড আবার দেখিয়ে দাও তুমি কে!",positive
72,আমার সবসময় একটি সুস্বাদু খাবার আছে যা সবসময় সন্তুষ্ট অনুভূতি ছড়ায়,সুস্বাদু খাবার আছে যা সবসময় সন্তুষ্ট অনুভূতি ছড়ায়,positive
81,তুষার ইমরানকেও দলে সুযোগ দেওয়া উচিত,সুযোগ দেওয়া উচিত,positive
193,সব অধিকার সুবিধাজনকভাবে বিতরণ করতে হবে।,সুবিধাজনকভাবে,positive
261,স্টাফ খুব সুবিধাজনক।,সুবিধাজনক,positive
276,এটা সুবিধাজনক,সুবিধাজনক,positive
101,আমি চাল বাদাম বা কংগী বিভিন্ন ধরনের (চাল পোড়) সুপারিশ করি।,সুপারিশ করি,positive
111,আমি সুপারিশ করবো লাভা পিষ্টক ডেজার্ট অবিশ্বাস্য ছিল,"সুপারিশ করবো, অবিশ্বাস্য ছিল",positive
15,এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,সুনির্দিষ্টভাবে,positive
125,প্রথম বারের মতো দক্ষিণ আফ্রিকার মাটিতে সিরিজ জয়ের সুবর্ণ সুয়োগ।,সিরিজ জয়ের সুবর্ণ সুয়োগ,positive
28,"সামান্য জায়গা  চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের শহরের দাম আছে","সামান্য জায়গা চতুর অভ্যন্তর সজ্জা,সাশ্রয়ী মূল্যের",positive
110,"এটি অপেক্ষা করছে এটি অসামঞ্জস্যপূর্ণ,সামগ্রিকভাবে একটি ওহ",সামগ্রিকভাবে একটি ওহ,positive
1615,সাব্বাস আসিফ।,সাব্বাস,positive
1735,সাববাশ বেটি,সাববাশ বেটি,positive
1,বাংলাদেশের পরে ভারতের সাপর্ট ই করি ?,সাপর্ট ই করি,positive
1610,সংশোধন,সংশোধন,positive
132,আমি  তাদের প্রায়ই  আদেশ করতাম ডেলিভারি সবসময় দ্রুত আমার পিজা এবং রসুন নট ভাল,সবসময় দ্রুত ,positive
129,খাদ্যে সবসময় তাজা স্বাদ এবং তাত্ক্ষণিকভাবে পরিবেশিত।,"সবসময় তাজা স্বাদ, তাত্ক্ষণিকভাবে পরিবেশিত।",positive
159,"বন্ধুকে জায়গা সম্পকে সুপারিশ করেছে, সবসময় এটা ভাল প্রতিক্রিয়া পায়",সবসময় এটা ভাল প্রতিক্রিয়া পায়,positive
113,লাহোর দেরী-রাতে যখন আপনি সস্তা উপর কিছু সত্যিই সুস্বাদু খাবার প্রয়োজন মধ্যে হাঁসের একটি ভাল জায়গা - আপনি সম্ভবত আপনি চার ডেলরার জন্য পেতে খাদ্য পরিমাণের সমাপ্তি সমস্যা হবে।,"সত্যিই সুস্বাদু, ভাল জায়গা",positive
144,"সত্যিই ভাল খাদ্য,খাদ্য ভাল হিসাবে খুব সাশ্রয়ী মূল্যের হয়,","সত্যিই ভাল খাদ্য,খাদ্য ভাল হিসাবে খুব সাশ্রয়ী মূল্যের হয়,",positive
469,সত্যিই বড় অংশ,সত্যিই বড়,positive
133,"একটি রেস্টুরেন্ট, খাবার সবচেয়ে গুরুত্বপূর্ণ অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি",সত্যিই ট্রেন্ডি,positive
